,mean_in_high_group,mean_in_baseline_group,mean_difference (high - base),abs_difference
necrosis cells: mean of their contrast,1774.0937922494818,1510.1574798014665,263.9363124480153,263.9363124480153
number of connective cells,261.6732673267327,82.95238095238095,178.72088637435172,178.72088637435172
connective cells: mean of their contrast,1474.2234125097266,1324.6159162685924,149.60749624113419,149.60749624113419
inflamatory cells: mean of their contrast,1449.1569784515075,1309.3724268283004,139.7845516232071,139.7845516232071
neoplastic cells: mean of their contrast,1027.7212739669092,895.3632425049473,132.3580314619619,132.3580314619619
no-neoplastic cells: mean of their contrast,1213.2460107867032,1098.9953163231312,114.25069446357202,114.25069446357202
number of inflamatory cells,199.8910891089109,93.6766334440753,106.2144556648356,106.2144556648356
necrosis cells: std of their contrast,630.1943458016061,537.438536760683,92.75580904092317,92.75580904092317
neoplastic cells: k-function at radius 672 pixels,51.893885564076726,142.9414104514506,-91.04752488737387,91.04752488737387
neoplastic cells: k-function at radius 448 pixels,45.186308388618706,130.36151432888582,-85.17520594026712,85.17520594026712
neoplastic cells: k-function at radius 896 pixels,49.10065205648271,123.55879317338663,-74.45814111690393,74.45814111690393
number of no-neoplastic cells,115.57425742574257,56.03765227021041,59.536605155532165,59.536605155532165
number of neoplastic cells,1195.1881188118812,1141.703211517165,53.484907294716095,53.484907294716095
neoplastic cells: k-function at radius 224 pixels,32.54434483644956,83.28542692530692,-50.74108208885736,50.74108208885736
neoplastic cells: std of their contrast,302.4968800928518,272.79776331743653,29.69911677541529,29.69911677541529
no-neoplastic cells: std of their contrast,376.49731745329177,350.58097527614586,25.916342177145907,25.916342177145907
connective cells: std of their contrast,528.285127323467,503.6959081911671,24.58921913229989,24.58921913229989
connective cells: mean of their area,372.42787192462447,349.3125145560649,23.115357368559557,23.115357368559557
necrosis cells: mean of their area,144.29526669305577,165.53129465233587,-21.236027959280108,21.236027959280108
inflamatory cells: std of their contrast,402.4705917991641,386.83652940431296,15.634062394851128,15.634062394851128
no-neoplastic cells: mean of their area,368.7193249653651,353.25788524765034,15.461439717714768,15.461439717714768
neoplastic cells: mean of their area,491.952574341544,479.5209074985845,12.431666842959487,12.431666842959487
connective cells: std of their area,176.171574046701,164.0089015553266,12.162672491374423,12.162672491374423
necrosis cells: std of their area,79.0997723995301,91.07276088992379,-11.97298849039369,11.97298849039369
inflamatory cells: mean of their area,298.9880096836961,310.79849584472134,-11.810486161025267,11.810486161025267
neoplastic cells: mean of their intensity_mean,83.66408873379483,78.11380100114177,5.550287732653061,5.550287732653061
Infiltration of neoplastic cells in inflamatory region,5.215394491264729,10.608710987278771,-5.393316496014042,5.393316496014042
no-neoplastic cells: std of their area,141.0911505796536,136.55833428473682,4.532816294916785,4.532816294916785
connective cells: mean of their intensity_mean,96.29067142447174,91.77764093000862,4.513030494463123,4.513030494463123
no-neoplastic cells: mean of their intensity_mean,82.33021768345806,77.89528689287678,4.4349307905812765,4.4349307905812765
necrosis cells: mean of their intensity_mean,90.4347856794792,86.23149123072008,4.203294448759124,4.203294448759124
number of necrosis cells,17.326732673267326,20.815060908084163,-3.488328234816837,3.488328234816837
inflamatory cells: std of their area,104.30902087021946,101.0653940853386,3.2436267848808598,3.2436267848808598
necrosis cells: mean of their perimeter,44.151209872383866,47.337258696276415,-3.1860488238925484,3.1860488238925484
Infiltration of neoplastic cells in no-neoplastic region,6.22573141705945,8.984793633529751,-2.7590622164703014,2.7590622164703014
no-neoplastic cells: mean of their perimeter,73.59135631326106,71.06586833853149,2.5254879747295718,2.5254879747295718
neoplastic cells: mean of their intensity_std,20.982349580063737,18.698774899469065,2.283574680594672,2.283574680594672
Infiltration of neoplastic cells in necrosis region,23.471176799321825,21.29741511256418,2.1737616867576435,2.1737616867576435
inflamatory cells: mean of their intensity_mean,75.52610277424492,73.36022024302228,2.1658825312226355,2.1658825312226355
neoplastic cells: mean of their perimeter,85.91007013893083,83.76918376089907,2.140886378031766,2.140886378031766
no-neoplastic cells: mean of their intensity_std,21.89862808678365,19.862811372878383,2.035816713905266,2.035816713905266
necrosis cells: mean of their dissimilarity,19.80610746547483,17.80080834233202,2.0052991231428123,2.0052991231428123
inflamatory cells: mean of their intensity_std,26.27986382254769,24.30030843933455,1.979555383213139,1.979555383213139
necrosis cells: mean of their intensity_std,20.598512084797445,18.822231477401587,1.776280607395858,1.776280607395858
necrosis cells: std of their intensity_mean,16.34829359279283,14.607916568701155,1.7403770240916767,1.7403770240916767
Infiltration of neoplastic cells in connective region,5.9320100594161,7.637528599579654,-1.7055185401635544,1.7055185401635544
connective cells: mean of their intensity_std,22.25874323817969,20.643462976000432,1.6152802621792581,1.6152802621792581
neoplastic cells: std of their intensity_mean,13.666470772593534,12.068367253105322,1.5981035194882125,1.5981035194882125
no-neoplastic cells: std of their intensity_mean,14.452888857812955,12.857448661563621,1.5954401962493332,1.5954401962493332
connective cells: mean of their perimeter,80.0101315041335,78.51496434785341,1.4951671562800897,1.4951671562800897
connective cells: std of their intensity_mean,16.930643826107314,15.645023551126162,1.2856202749811523,1.2856202749811523
inflamatory cells: mean of their dissimilarity,17.148402811723116,15.88201860086456,1.266384210858556,1.266384210858556
connective cells: mean of their dissimilarity,15.996463443610871,14.765975445335084,1.2304879982757875,1.2304879982757875
no-neoplastic cells: mean of their axis_major_length,26.426148749228826,25.338482979574685,1.0876657696541407,1.0876657696541407
neoplastic cells: mean of their dissimilarity,13.312247895969671,12.274941924068392,1.0373059719012794,1.0373059719012794
neoplastic cells: mean of their axis_major_length,30.39875268467127,29.40472063325997,0.994032051411299,0.994032051411299
necrosis cells: mean of their axis_major_length,16.14838230953044,17.128472695668236,-0.9800903861377961,0.9800903861377961
connective cells: mean of their axis_minor_length,15.021060864554343,14.172340729338215,0.8487201352161282,0.8487201352161282
no-neoplastic cells: mean of their dissimilarity,14.799271151270101,13.975060995647047,0.8242101556230548,0.8242101556230548
inflamatory cells: mean of their perimeter,63.87255265851524,64.69469134040928,-0.8221386818940388,0.8221386818940388
inflamatory cells: std of their intensity_mean,13.064011058930186,12.26343360172534,0.8005774572048452,0.8005774572048452
necrosis cells: mean of their axis_minor_length,10.834000820531887,11.61966485610862,-0.7856640355767333,0.7856640355767333
inflamatory cells: std of their perimeter,12.604445621955316,11.963271515969739,0.6411741059855771,0.6411741059855771
Local Renyi entropy (at alpha=infinity) skew,0.9819729255155377,1.614249705084302,-0.6322767795687644,0.6322767795687644
necrosis cells: std of their perimeter,13.575581644703428,14.12764962989103,-0.5520679851876018,0.5520679851876018
necrosis cells: std of their dissimilarity,4.792215357743711,4.253417980213522,0.5387973775301891,0.5387973775301891
inflamatory cells: mean of their axis_minor_length,16.759700562931616,17.274383180031176,-0.5146826170995595,0.5146826170995595
Local Shannon index skew,0.28564913759450716,0.77387429575253,-0.4882251581580228,0.4882251581580228
no-neoplastic cells: std of their perimeter,16.1086683923978,15.65316277813843,0.4555056142593692,0.4555056142593692
connective cells: kurtosis of their eccentricity,0.22374175178879047,0.6660058964023136,-0.4422641446135231,0.4422641446135231
connective cells: kurtosis of their intesntiy_kurtosis,-0.34341667267937676,0.08241779511845955,-0.4258344677978363,0.4258344677978363
connective cells: std of their axis_major_length,9.373711665173772,9.759524263418333,-0.38581259824456104,0.38581259824456104
necrosis cells: std of their intensity_std,5.1452577309452305,4.785893678232942,0.3593640527122881,0.3593640527122881
necrosis cells: kurtosis of their intesntiy_kurtosis,0.5146422446277671,0.1792968953321411,0.335345349295626,0.335345349295626
necrosis cells: kurtosis of their axis_minor_length,0.08654372708538577,-0.23281760069238178,0.31936132777776755,0.31936132777776755
Gloabl Shannon index,1.290392574206532,0.9770753063501737,0.3133172678563584,0.3133172678563584
connective cells: std of their axis_minor_length,3.988583591472982,3.6777330335517076,0.31085055792127436,0.31085055792127436
connective cells: kurtosis of their contrast,-0.31055718582965125,-0.010313271476262582,-0.30024391435338865,0.30024391435338865
Gloabl Renyi entropy (at alpha=infinity),0.6712631818806344,0.3897592287258746,0.2815039531547598,0.2815039531547598
connective cells: kurtosis of their intensity_mean,-0.6679526600266676,-0.39650869165079355,-0.2714439683758741,0.2714439683758741
necrosis cells: std of their axis_minor_length,3.083022945231257,3.331630889102997,-0.24860794387174012,0.24860794387174012
Local richness skew,0.6470159743919823,0.8951715451833838,-0.2481555707914015,0.2481555707914015
inflamatory cells: std of their axis_major_length,4.428131875597927,4.1815923890637965,0.2465394865341306,0.2465394865341306
neoplastic cells: std of their intensity_std,3.8070599734946926,3.5682602381324107,0.23879973536228194,0.23879973536228194
connective cells: kurtosis of their dissimilarity,-0.5097267829017199,-0.28328080683994117,-0.22644597606177874,0.22644597606177874
necrosis cells: kurtosis of their intensity_skew,-0.2501145158952886,-0.4710379095622839,0.22092339366699532,0.22092339366699532
necrosis cells: kurtosis of their area,0.4880987560521943,0.2701337018392389,0.21796505421295542,0.21796505421295542
connective cells: kurtosis of their orientation,-0.6524962290198897,-0.4390233776434898,-0.21347285137639987,0.21347285137639987
no-neoplastic cells: std of their axis_major_length,6.11001010801225,5.897789709540254,0.21222039847199614,0.21222039847199614
connective cells: kurtosis of their axis_minor_length,-0.7470671144777787,-0.541848988417376,-0.20521812606040268,0.20521812606040268
inflamatory cells: kurtosis of their area,-0.8347192485277877,-0.63453799688859,-0.20018125163919764,0.20018125163919764
inflamatory cells: kurtosis of their perimeter,-0.7554121689602247,-0.5555793470201595,-0.19983282194006513,0.19983282194006513
percent_of_background_region,0.16083561605722113,0.35721802479248677,-0.19638240873526563,0.19638240873526563
no-neoplastic cells: kurtosis of their solidity,0.6597439299564942,0.47250932498938086,0.18723460496711336,0.18723460496711336
no-neoplastic cells: mean of their axis_minor_length,17.522359976218695,17.335274901522215,0.18708507469647984,0.18708507469647984
inflamatory cells: kurtosis of their axis_major_length,-0.7355387432928194,-0.549459247159988,-0.18607949613283148,0.18607949613283148
necrosis cells: kurtosis of their homogeneity,-0.2589497579612333,-0.43955016918015233,0.180600411218919,0.180600411218919
Infiltration of connective cells in neoplastic region,0.30458349779320437,0.12425829836584103,0.18032519942736336,0.18032519942736336
skew of cells' closeness_centrality,0.2294191913563853,0.05016376235747593,0.17925542899890937,0.17925542899890937
connective cells: kurtosis of their area,-0.6410203897892882,-0.46290504956153433,-0.17811534022775388,0.17811534022775388
inflamatory cells: kurtosis of their homogeneity,-0.6493700464282366,-0.47391308866396686,-0.17545695776426973,0.17545695776426973
connective cells: kurtosis of their intensity_std,-0.7943991976320268,-0.622916129498,-0.1714830681340268,0.1714830681340268
neoplastic cells: std of their area,201.06589807545538,201.2342877610103,-0.16838968555492784,0.16838968555492784
connective cells: kurtosis of their axis_major_length,-0.7101610648611867,-0.5462073704299104,-0.16395369443127628,0.16395369443127628
Local Simpson index skew,1.0156443117742524,1.177123949050254,-0.16147963727600168,0.16147963727600168
necrosis cells: skew of their axis_minor_length,0.6861167083975639,0.5261384085320073,0.15997829986555656,0.15997829986555656
inflamatory cells: kurtosis of their axis_minor_length,-0.7761567814139287,-0.6169065695916763,-0.1592502118222524,0.1592502118222524
no-neoplastic cells: kurtosis of their contrast,-0.11519630965823768,-0.27281870874323527,0.1576223990849976,0.1576223990849976
no-neoplastic cells: std of their intensity_std,4.1214318351757555,3.964139369321921,0.1572924658538346,0.1572924658538346
necrosis cells: kurtosis of their axis_major_length,-0.24489228211874156,-0.40019296779059677,0.1553006856718552,0.1553006856718552
necrosis cells: std of their axis_major_length,4.884685704948893,5.038222028986565,-0.15353632403767214,0.15353632403767214
