,mean_in_high_group,mean_in_baseline_group,mean_difference (high - base),abs_difference
number of neoplastic cells,1713.5333333333333,709.5763027295285,1003.9570306038048,1003.9570306038048
neoplastic cells: mean of their contrast,855.3717062761656,1068.5572779216357,-213.18557164547008,213.18557164547008
no-neoplastic cells: mean of their contrast,1122.8278083060277,1322.1830803692662,-199.35527206323854,199.35527206323854
necrosis cells: mean of their contrast,1553.6700853009938,1727.3445037729468,-173.674418471953,173.674418471953
number of inflamatory cells,87.24444444444444,238.8529776674938,-151.60853322304936,151.60853322304936
number of connective cells,53.455555555555556,188.4224565756824,-134.96690102012684,134.96690102012684
no-neoplastic cells: std of their contrast,377.50336524787605,457.4211910119134,-79.91782576403733,79.91782576403733
inflamatory cells: mean of their contrast,1381.898230076909,1456.9233529120734,-75.02512283516444,75.02512283516444
connective cells: mean of their contrast,1390.639610846674,1465.5784704335222,-74.93885958684814,74.93885958684814
necrosis cells: std of their contrast,568.7065195626714,629.004205420956,-60.297685858284694,60.297685858284694
neoplastic cells: std of their contrast,273.26552682699173,329.25716913511434,-55.99164230812261,55.99164230812261
neoplastic cells: k-function at radius 448 pixels,27.910691989415202,77.65512726914041,-49.74443527972521,49.74443527972521
neoplastic cells: k-function at radius 672 pixels,33.04651451842318,81.16325977236522,-48.11674525394204,48.11674525394204
neoplastic cells: k-function at radius 224 pixels,18.895903990137487,55.46981637703668,-36.573912386899195,36.573912386899195
inflamatory cells: std of their contrast,394.36712240136234,429.13264918028204,-34.76552677891971,34.76552677891971
neoplastic cells: k-function at radius 896 pixels,33.66111584475165,67.444735899412,-33.78362005466035,33.78362005466035
no-neoplastic cells: mean of their area,349.01760651839106,327.91069548866244,21.10691102972862,21.10691102972862
number of necrosis cells,23.855555555555554,44.742555831265506,-20.88700027570995,20.88700027570995
number of no-neoplastic cells,54.01111111111111,38.66315136476427,15.347959746346845,15.347959746346845
neoplastic cells: mean of their intensity_mean,75.52147652502767,89.56876767655854,-14.047291151530871,14.047291151530871
no-neoplastic cells: std of their area,144.15348523833615,130.45762560890606,13.695859629430089,13.695859629430089
neoplastic cells: mean of their area,500.76838243604254,514.4047518267188,-13.636369390676236,13.636369390676236
inflamatory cells: mean of their area,295.7211097229405,307.89805857060304,-12.176948847662516,12.176948847662516
Infiltration of neoplastic cells in necrosis region,25.1209751643351,15.158163410581203,9.962811753753897,9.962811753753897
no-neoplastic cells: mean of their intensity_mean,75.55536657911277,84.34323224537584,-8.787865666263073,8.787865666263073
connective cells: mean of their intensity_mean,90.50526492089074,98.21822885693489,-7.712963936044147,7.712963936044147
connective cells: std of their contrast,545.7531490327472,538.4722009844921,7.280948048255027,7.280948048255027
Infiltration of neoplastic cells in connective region,11.556264372027787,4.620882917754867,6.93538145427292,6.93538145427292
necrosis cells: std of their area,94.1963532786613,87.41728822587582,6.779065052785484,6.779065052785484
inflamatory cells: std of their area,106.4884623598279,100.11652798763147,6.371934372196435,6.371934372196435
necrosis cells: mean of their intensity_mean,84.68647938119054,90.83272106182005,-6.146241680629515,6.146241680629515
connective cells: std of their area,167.9823608335798,162.06680951721577,5.915551316364031,5.915551316364031
neoplastic cells: mean of their intensity_std,19.371567565743593,25.10578720274738,-5.734219637003786,5.734219637003786
neoplastic cells: std of their intensity_mean,12.61509959207049,18.160771091158697,-5.545671499088208,5.545671499088208
connective cells: mean of their area,335.69784902824074,340.3719533637709,-4.67410433553016,4.67410433553016
Infiltration of neoplastic cells in inflamatory region,10.231862132056555,5.7973105444891555,4.4345515875674,4.4345515875674
no-neoplastic cells: std of their intensity_mean,13.881080347342289,18.24275040867139,-4.361670061329102,4.361670061329102
no-neoplastic cells: mean of their perimeter,71.07965049781109,68.03167251922358,3.047977978587511,3.047977978587511
inflamatory cells: mean of their intensity_mean,71.34751774713058,74.20691637431425,-2.8593986271836656,2.8593986271836656
