,pearson_correlation
percent_of_tissue_region,0.47122310102258125
number of neoplastic cells,0.29105932838388016
percent_of_cell_region,0.28303682831558946
skew of cells' closeness_centrality,0.21712867283978401
neoplastic cells: mean of their intesntiy_kurtosis,0.19071373434624952
neoplastic cells: std of their intesntiy_kurtosis,0.17940369189265165
number of necrosis cells,0.17119053614629162
Local richness skew,0.14989302408082913
connective cells: mean of their intesntiy_kurtosis,0.1454777245207214
neoplastic cells: skew of their intensity_std,0.14077559913845206
neoplastic cells: mean of their intensity_skew,0.13624151981311775
Gloabl Simpson index,0.12703270644741285
neoplastic cells: skew of their contrast,0.12077197641008088
neoplastic cells: mean of their homogeneity,0.12008704543564494
inflamatory cells: skew of their axis_minor_length,0.11856264429460676
number of connective cells,0.11581826908092455
no-neoplastic cells: std of their perimeter,0.11385468083915372
Local Shannon index skew,0.1134770910104732
neoplastic cells: std of their homogeneity,0.11257268905574475
inflamatory cells: skew of their area,0.11164215834600281
neoplastic cells: mean of their energy,0.1082139115354852
inflamatory cells: skew of their perimeter,0.10594618325482202
connective cells: mean of their intensity_skew,0.10495628742918613
no-neoplastic cells: std of their axis_minor_length,0.10407703625241069
no-neoplastic cells: std of their axis_major_length,0.10124537718020263
no-neoplastic cells: std of their area,0.10075446960782108
no-neoplastic cells: skew of their contrast,0.09820176000739402
no-neoplastic cells: std of their intesntiy_kurtosis,0.09300967827271749
inflamatory cells: mean of their intesntiy_kurtosis,0.0924872566555726
neoplastic cells: std of their solidity,0.09021301518891482
neoplastic cells: std of their energy,0.08940893219543122
connective cells: mean of their eccentricity,0.085632653123547
Local Simpson index skew,0.08518644982393346
necrosis cells: mean of their intesntiy_kurtosis,0.08512900212362491
neoplastic cells: skew of their intesntiy_kurtosis,0.08310404518387182
neoplastic cells: skew of their intensity_skew,0.08284844760740036
no-neoplastic cells: std of their homogeneity,0.08039305153662657
no-neoplastic cells: mean of their homogeneity,0.07991956831665789
no-neoplastic cells: kurtosis of their contrast,0.07983975665651981
connective cells: mean of their homogeneity,0.07874690972076566
neoplastic cells: std of their intensity_skew,0.07784131108296403
connective cells: mean of their energy,0.07780336340277327
neoplastic cells: kurtosis of their intensity_std,0.07764804083962326
neoplastic cells: kurtosis of their intensity_mean,0.0773808446206554
no-neoplastic cells: std of their dissimilarity,0.0749664062998678
neoplastic cells: kurtosis of their contrast,0.07483803687137384
no-neoplastic cells: skew of their axis_minor_length,0.0730503039075323
no-neoplastic cells: mean of their intesntiy_kurtosis,0.0730265020604197
inflamatory cells: skew of their axis_major_length,0.0712242208685934
no-neoplastic cells: std of their intensity_skew,0.07053462750924071
inflamatory cells: mean of their energy,0.0681162645602859
no-neoplastic cells: std of their energy,0.0677035752743978
inflamatory cells: skew of their contrast,0.067481438471019
no-neoplastic cells: skew of their dissimilarity,0.06524743568171756
no-neoplastic cells: std of their solidity,0.0635998879163196
Local Renyi entropy (at alpha=infinity) skew,0.06257842523385507
no-neoplastic cells: skew of their area,0.06222146370428963
necrosis cells: mean of their intensity_skew,0.06164253334879099
no-neoplastic cells: skew of their intesntiy_kurtosis,0.060144856582089214
neoplastic cells: skew of their solidity,0.060062324902945455
neoplastic cells: skew of their dissimilarity,0.05775513073368659
no-neoplastic cells: mean of their energy,0.05775437947012867
neoplastic cells: skew of their orientation,0.05368361896494154
inflamatory cells: skew of their intensity_std,0.05362537317629628
neoplastic cells: mean of their eccentricity,0.05353140753877126
inflamatory cells: skew of their orientation,0.053255609919221486
number of inflamatory cells,0.05271665435213469
neoplastic cells: kurtosis of their intesntiy_kurtosis,0.05227958408968314
no-neoplastic cells: kurtosis of their dissimilarity,0.05074285046841405
no-neoplastic cells: mean of their eccentricity,0.04965307243748957
no-neoplastic cells: std of their orientation,0.049208454413225314
no-neoplastic cells: std of their contrast,0.048385294138039464
inflamatory cells: mean of their intensity_skew,0.04836048546333461
neoplastic cells: std of their axis_major_length,0.047132855698328556
connective cells: mean of their axis_major_length,0.046242790136978094
neoplastic cells: skew of their intensity_mean,0.045737650846293755
inflamatory cells: skew of their dissimilarity,0.0452684287613122
Infiltration of neoplastic cells in connective region,0.04458208212487444
no-neoplastic cells: std of their eccentricity,0.044068772015118884
neoplastic cells: kurtosis of their intensity_skew,0.04392346019653629
connective cells: std of their intesntiy_kurtosis,0.04136711790957283
number of no-neoplastic cells,0.04118207418570877
neoplastic cells: std of their orientation,0.0411448346890983
inflamatory cells: mean of their homogeneity,0.04111922915014398
no-neoplastic cells: kurtosis of their intesntiy_kurtosis,0.04070571877824353
no-neoplastic cells: std of their intensity_std,0.03913614568592873
neoplastic cells: std of their perimeter,0.038978520119229074
no-neoplastic cells: std of their intensity_mean,0.03864266651700839
neoplastic cells: kurtosis of their eccentricity,0.036270935085581824
connective cells: skew of their perimeter,0.0358849351231523
Infiltration of neoplastic cells in necrosis region,0.03579108809027593
no-neoplastic cells: skew of their intensity_skew,0.03524557396981201
connective cells: skew of their solidity,0.03495470808984045
no-neoplastic cells: skew of their intensity_mean,0.034545760166352434
necrosis cells: kurtosis of their solidity,0.03352126015349789
inflamatory cells: skew of their intensity_skew,0.03303254096250737
no-neoplastic cells: mean of their intensity_skew,0.03159377347566843
necrosis cells: kurtosis of their energy,0.03138074422125542
necrosis cells: skew of their energy,0.030318035271476838
necrosis cells: kurtosis of their axis_major_length,0.027832552957126475
necrosis cells: skew of their axis_major_length,0.027548696262900293
no-neoplastic cells: kurtosis of their solidity,0.027302400385254295
necrosis cells: skew of their contrast,0.02728087869912766
necrosis cells: mean of their energy,0.027070925643737823
no-neoplastic cells: kurtosis of their eccentricity,0.02697281777291881
necrosis cells: skew of their intensity_std,0.026596993585350913
no-neoplastic cells: skew of their orientation,0.025575390857616315
no-neoplastic cells: kurtosis of their intensity_mean,0.0249509584009149
necrosis cells: kurtosis of their perimeter,0.0231820415588587
connective cells: skew of their axis_major_length,0.02271869470695141
connective cells: std of their homogeneity,0.022595431771415674
connective cells: skew of their contrast,0.022240970649260148
inflamatory cells: kurtosis of their contrast,0.021830624464738328
inflamatory cells: std of their solidity,0.02116641453542165
necrosis cells: skew of their homogeneity,0.01990089870510908
inflamatory cells: skew of their intensity_mean,0.019895952009465895
no-neoplastic cells: skew of their perimeter,0.019864277582009003
connective cells: skew of their orientation,0.01912877662897351
necrosis cells: skew of their perimeter,0.017821616868666193
no-neoplastic cells: skew of their intensity_std,0.017815770369252148
no-neoplastic cells: kurtosis of their energy,0.017566994029638783
necrosis cells: skew of their intesntiy_kurtosis,0.01750115233815679
no-neoplastic cells: skew of their energy,0.017247077183788564
connective cells: mean of their perimeter,0.017004949479509535
inflamatory cells: skew of their intesntiy_kurtosis,0.016829698249618035
connective cells: std of their energy,0.01610408574768493
Infiltration of neoplastic cells in inflamatory region,0.016069637500279184
necrosis cells: mean of their eccentricity,0.015583299470604
necrosis cells: kurtosis of their intesntiy_kurtosis,0.014986469043460359
inflamatory cells: skew of their solidity,0.01497487409670715
inflamatory cells: mean of their eccentricity,0.014874386710280739
necrosis cells: kurtosis of their homogeneity,0.014481675300917481
no-neoplastic cells: kurtosis of their intensity_std,0.014383563098497814
connective cells: skew of their area,0.013589437920054494
neoplastic cells: std of their intensity_std,0.013441092974690193
connective cells: std of their axis_major_length,0.013403635269695418
no-neoplastic cells: kurtosis of their homogeneity,0.011158254150118273
no-neoplastic cells: kurtosis of their intensity_skew,0.011090216833201189
Gloabl Richness (number of cell-types present),0.010468584815286239
connective cells: skew of their dissimilarity,0.010078794673885233
neoplastic cells: kurtosis of their dissimilarity,0.01004401559688741
connective cells: skew of their intensity_mean,0.00998764299290805
necrosis cells: mean of their homogeneity,0.008410895362408199
necrosis cells: kurtosis of their contrast,0.008350691056717582
necrosis cells: kurtosis of their area,0.0076182549138350385
connective cells: kurtosis of their eccentricity,0.006786071925337476
necrosis cells: kurtosis of their intensity_std,0.00614854538334662
necrosis cells: kurtosis of their intensity_skew,0.0058078035149146685
inflamatory cells: kurtosis of their intensity_std,0.0037168799547183337
connective cells: std of their perimeter,0.003694797957126814
connective cells: kurtosis of their intensity_mean,0.0035604114223173806
necrosis cells: skew of their intensity_mean,0.00279708890011886
necrosis cells: skew of their area,0.0018182525076629928
no-neoplastic cells: kurtosis of their area,0.0017543606305087766
no-neoplastic cells: mean of their orientation,0.001293557897945707
connective cells: skew of their intensity_std,0.0008053460814032669
necrosis cells: kurtosis of their intensity_mean,0.0007142348946530433
connective cells: skew of their axis_minor_length,0.00043216446051082453
Infiltration of neoplastic cells in no-neoplastic region,-9.316524464079276e-05
necrosis cells: skew of their dissimilarity,-0.0006475822125619758
inflamatory cells: kurtosis of their intesntiy_kurtosis,-0.0007314928059199815
necrosis cells: kurtosis of their axis_minor_length,-0.0007878556749511911
inflamatory cells: std of their intesntiy_kurtosis,-0.0022920398806690273
no-neoplastic cells: kurtosis of their axis_minor_length,-0.0025131932954134575
inflamatory cells: std of their axis_major_length,-0.002553344513922241
necrosis cells: skew of their orientation,-0.003146103785848809
necrosis cells: std of their intesntiy_kurtosis,-0.0037565342192150486
necrosis cells: kurtosis of their orientation,-0.004410732200305912
