,pearson_correlation
number of neoplastic cells,0.8111192100692528
percent_of_cell_region,0.7622323358129887
Gloabl Simpson index,0.7220339087984625
Local Renyi entropy (at alpha=infinity) skew,0.700758395929123
Local Shannon index skew,0.6360598849516967
Local richness skew,0.5768356371243003
Local Simpson index skew,0.5696263126006125
Infiltration of neoplastic cells in inflamatory region,0.41287101058342995
Infiltration of neoplastic cells in necrosis region,0.41278866488237564
Infiltration of neoplastic cells in connective region,0.393368354428484
neoplastic cells: mean of their homogeneity,0.3708436759821674
neoplastic cells: skew of their eccentricity,0.351766076405961
no-neoplastic cells: mean of their homogeneity,0.3092534515456199
percent_of_tissue_region,0.2772462211596198
inflamatory cells: mean of their homogeneity,0.26657361649904554
neoplastic cells: mean of their solidity,0.261757389721528
no-neoplastic cells: mean of their axis_minor_length,0.24544263780239237
connective cells: mean of their homogeneity,0.23322815872132016
neoplastic cells: mean of their axis_minor_length,0.23172668822768028
no-neoplastic cells: mean of their area,0.2287188371163463
inflamatory cells: mean of their axis_minor_length,0.22576623870784324
skew of cells' closeness_centrality,0.22573918447436922
necrosis cells: mean of their homogeneity,0.2234827540977592
necrosis cells: mean of their axis_minor_length,0.22266768005377807
inflamatory cells: mean of their intensity_mean,0.21441303321357394
no-neoplastic cells: mean of their perimeter,0.21061309742900222
Gloabl Richness (number of cell-types present),0.1996042682100776
inflamatory cells: mean of their solidity,0.19855699433996973
neoplastic cells: skew of their dissimilarity,0.1971687694491028
neoplastic cells: kurtosis of their intensity_mean,0.19088470950951544
necrosis cells: skew of their eccentricity,0.1813547095232828
connective cells: mean of their area,0.18017944232952707
number of no-neoplastic cells,0.17792035944566004
necrosis cells: mean of their area,0.17416323563455272
inflamatory cells: skew of their intensity_std,0.17039448778181668
no-neoplastic cells: mean of their axis_major_length,0.16927308767804586
inflamatory cells: mean of their area,0.16405871588714807
connective cells: mean of their axis_major_length,0.16221308827047218
necrosis cells: mean of their perimeter,0.16169681684025702
connective cells: mean of their perimeter,0.16150740845791967
connective cells: skew of their intensity_std,0.14855174695714846
neoplastic cells: kurtosis of their energy,0.14667666763877565
inflamatory cells: skew of their eccentricity,0.14537676998498394
neoplastic cells: mean of their intesntiy_kurtosis,0.1380311053111868
connective cells: mean of their intesntiy_kurtosis,0.13663797386059204
connective cells: mean of their intensity_skew,0.13565533500009103
connective cells: mean of their axis_minor_length,0.13165360698675294
Infiltration of neoplastic cells in no-neoplastic region,0.12122509691755307
necrosis cells: mean of their axis_major_length,0.11861728369316639
inflamatory cells: mean of their perimeter,0.11654120451725046
connective cells: mean of their solidity,0.10626719630361796
inflamatory cells: skew of their perimeter,0.10487688349028552
necrosis cells: mean of their solidity,0.10345989852486903
inflamatory cells: skew of their solidity,0.10037979677785724
connective cells: skew of their eccentricity,0.09224227397363119
neoplastic cells: skew of their energy,0.09118301482985709
no-neoplastic cells: mean of their solidity,0.08936476283522575
inflamatory cells: skew of their axis_major_length,0.08718129689991173
no-neoplastic cells: mean of their intensity_skew,0.08691366083529697
neoplastic cells: mean of their intensity_skew,0.08348100176635148
neoplastic cells: mean of their area,0.07969796539115133
neoplastic cells: kurtosis of their solidity,0.07869232209336116
inflamatory cells: skew of their intensity_skew,0.0755656935757318
neoplastic cells: skew of their intensity_mean,0.07535083689693702
neoplastic cells: kurtosis of their dissimilarity,0.07204103105745915
connective cells: skew of their perimeter,0.07022444926181844
no-neoplastic cells: kurtosis of their perimeter,0.06464829606395442
connective cells: kurtosis of their intensity_mean,0.06260015076590734
connective cells: skew of their solidity,0.05734144989801649
neoplastic cells: std of their eccentricity,0.05470757452516091
kurtosis of cells' clustering_coefficient,0.05456662752254307
no-neoplastic cells: mean of their intensity_mean,0.053602744286726435
connective cells: skew of their orientation,0.05289246921605992
no-neoplastic cells: skew of their dissimilarity,0.05177036423255646
necrosis cells: skew of their solidity,0.05091773812508775
connective cells: kurtosis of their perimeter,0.04888104932007302
no-neoplastic cells: kurtosis of their area,0.04811845303149848
inflamatory cells: skew of their area,0.04626408409617678
connective cells: skew of their axis_major_length,0.046220142210339724
no-neoplastic cells: kurtosis of their orientation,0.0446300360943788
no-neoplastic cells: mean of their intesntiy_kurtosis,0.042201145402504456
connective cells: mean of their intensity_mean,0.04027401015726126
necrosis cells: skew of their dissimilarity,0.04007350091660211
no-neoplastic cells: kurtosis of their axis_minor_length,0.03970918375084509
no-neoplastic cells: skew of their eccentricity,0.03814663063360891
necrosis cells: mean of their intensity_skew,0.03754771118026067
no-neoplastic cells: kurtosis of their axis_major_length,0.03739370508295991
connective cells: std of their intesntiy_kurtosis,0.03683401777767529
inflamatory cells: mean of their axis_major_length,0.033074772216943195
necrosis cells: skew of their orientation,0.032316056572716204
no-neoplastic cells: skew of their orientation,0.031243514546465307
no-neoplastic cells: kurtosis of their solidity,0.027080613448746873
connective cells: kurtosis of their axis_major_length,0.025972044040334666
connective cells: kurtosis of their dissimilarity,0.02512830759122583
neoplastic cells: skew of their orientation,0.023141468230716722
no-neoplastic cells: kurtosis of their intensity_mean,0.022493723420724167
inflamatory cells: mean of their orientation,0.02097223966864118
inflamatory cells: kurtosis of their area,0.019366298362710643
inflamatory cells: mean of their intesntiy_kurtosis,0.019139528820586168
no-neoplastic cells: skew of their energy,0.018545753002747266
connective cells: skew of their intensity_skew,0.01772121036388295
inflamatory cells: skew of their axis_minor_length,0.0173914485141171
connective cells: skew of their dissimilarity,0.016538454549558726
no-neoplastic cells: kurtosis of their dissimilarity,0.013823672719160294
necrosis cells: mean of their intensity_mean,0.013273139480298138
no-neoplastic cells: skew of their intensity_std,0.01193353630801929
no-neoplastic cells: skew of their axis_major_length,0.011824061742268422
no-neoplastic cells: mean of their orientation,0.010751868071009993
inflamatory cells: kurtosis of their axis_minor_length,0.010625940580014748
no-neoplastic cells: kurtosis of their energy,0.010552096526478809
necrosis cells: mean of their orientation,0.007464886056657492
no-neoplastic cells: skew of their perimeter,0.004552481990498261
neoplastic cells: kurtosis of their homogeneity,0.003871371427800352
connective cells: kurtosis of their solidity,0.00312564188533622
neoplastic cells: std of their intesntiy_kurtosis,-0.0031313338651347707
inflamatory cells: skew of their dissimilarity,-0.0038392868076447036
no-neoplastic cells: std of their area,-0.004744070814360277
inflamatory cells: skew of their orientation,-0.005766443099414196
necrosis cells: std of their area,-0.005929972887868628
inflamatory cells: mean of their intensity_skew,-0.006817239439221626
no-neoplastic cells: kurtosis of their eccentricity,-0.006953359754147757
inflamatory cells: kurtosis of their intensity_skew,-0.00830437418597792
connective cells: skew of their intensity_mean,-0.009022842389211512
necrosis cells: skew of their intensity_mean,-0.010036776510414064
necrosis cells: skew of their intensity_std,-0.01631421651688765
